trainer,rank_doubles,rank_doubles_cursed_excluded,rank_delta,rating_doubles,rating_doubles_cursed_excluded,rating_delta,battles_doubles,battles_doubles_cursed_excluded
RICHBOY4:Darlvon,73,61,12,2009.33,2246.86,237.53,548,483
MASKEDVILLAIN2:Teal#16,56,66,-10,2040.84,2241.89,201.05,548,483
MASKEDVILLAIN2:Teal#18,107,117,-10,1889.41,2110.39,220.98,548,483
MASKEDVILLAIN2_DOUBLE:Teal#12,64,74,-10,2019.19,2224.91,205.72,548,483
POKEMONMASTER_Vanya:Vanya#3,82,72,10,1977.63,2228.68,251.05,548,483
POKEMONMASTER_Vanya:Vanya#5,65,75,-10,2018.76,2223.66,204.9,548,483
WORKER5:Jbsundown,101,111,-10,1903.82,2126.67,222.85,548,483
CHALLENGER_Vanya:Vanya#8,68,77,-9,2014.98,2219.66,204.68,548,483
GAMBLER:IgnitedxSoul,99,107,-8,1911.02,2137.13,226.11,548,483
POKEMONMASTER_Vanya:Vanya#15,110,102,8,1885.83,2142.59,256.76,548,483
RICHBOY:Splitmoon,83,91,-8,1970.17,2191.18,221.01,548,483
IDEALTRAINER:of Brilliance,40,47,-7,2079.18,2266.99,187.81,548,483
IDEALTRAINER:of Freedom,46,39,7,2064.91,2285.68,220.77,548,483
WILDPACK:Cosmic,117,110,7,1871.65,2130.69,259.04,548,483
ANOTHERPOSSIBLEALESSA:Alessa,35,29,6,2088.19,2315.16,226.97,548,483
ARTIST3:Drawingbox,148,142,6,1757.54,2000.82,243.28,548,483
IDEALTRAINER:of Beauty,104,98,6,1900.2,2154.24,254.04,548,483
PSYCHIC_F3:Felicia,159,153,6,1735.17,1978.9,243.73,548,483
SCIENTIST_F:LunaFlare,20,14,6,2177.8,2418.96,241.16,548,483
TRAINER_Keoni:Keoni#2,74,68,6,2007.47,2241.89,234.42,548,483
TRAINER_Sang:Sang#4,44,38,6,2072.78,2290.69,217.91,548,483
WAITRESS2:Fanfan,70,64,6,2011.24,2242.92,231.68,548,483
ARTIFICIALTRAINER:Solitaire,296,291,5,1333.07,1336.98,3.91,548,483
GAMBLER:Tiki,136,131,5,1784.99,2034.59,249.6,548,483
HEXMANIAC_1:Riptide#1,95,100,-5,1920.68,2151.54,230.86,548,483
MASKEDVILLAIN2:Teal#20,131,136,-5,1807.28,2017.65,210.37,548,483
MASKEDVILLAIN:Crimson#14,85,80,5,1968.79,2209.62,240.83,548,483
NINJABOY:Hwan,401,406,-5,866.87,757.36,-109.51,548,483
POKEMONMASTER_Vanya:Vanya#18,57,52,5,2040.84,2261.95,221.11,548,483
POKEMONTRAINER_Yezera:Yezera#6,145,150,-5,1763.52,1988.3,224.78,548,483
POKEMONTRAINER_Yezera:Yezera#8,62,57,5,2029.76,2248.52,218.76,548,483
PUNKM:ValourDyke,13,18,-5,2193.4,2400.61,207.21,548,483
SPIRITGUARDIAN4:Brigitte,72,67,5,2011.19,2241.89,230.7,548,483
SWIMMER_F6:Kiana,239,234,5,1500.57,1620.65,120.08,548,483
WILDPARTY_FINI:of Hope,171,166,5,1693.94,1922.4,228.46,548,483
BIRDKEEPER_F:Danika,163,167,-4,1712.03,1919.82,207.79,548,483
BLACKBELT:Leo,108,112,-4,1887.82,2122.63,234.81,548,483
BURGLAR:Martino,105,101,4,1896.59,2146.5,249.91,548,483
COOLTRAINER_M7:X,34,30,4,2095.38,2314.22,218.84,548,483
ELDER:Logun,29,33,-4,2111.75,2305.41,193.66,548,483
GUITARIST3:Jamie,322,326,-4,1222.45,1166.66,-55.79,548,483
IDEALTRAINER:of Riches,113,109,4,1878.72,2130.69,251.97,548,483
KILLU:Killu,41,37,4,2077.38,2290.69,213.31,548,483
LADY2:Eseria,24,28,-4,2139.9,2323.45,183.55,548,483
LEADER_Bence:Bence#2,37,41,-4,2084.59,2283.17,198.58,548,483
LOST_RANGER_BLUE:Farid,206,202,4,1576.22,1754.45,178.23,548,483
MASKEDVILLAIN2:Teal#10,75,71,4,2003.74,2228.68,224.94,548,483
MASKEDVILLAIN:Crimson#10,180,184,-4,1660.36,1851.96,191.6,548,483
MASKEDVILLAIN:Crimson#18,109,105,4,1885.83,2138.65,252.82,548,483
MASKEDVILLAIN_DOUBLE:Crimson#12,78,82,-4,1992.55,2205.13,212.58,548,483
NIGHTMARE_TRAINER:Torment,217,213,4,1551.25,1705.71,154.46,548,483
POKEMONMASTER_Vanya:Vanya#20,165,161,4,1711.82,1935.07,223.25,547,482
SCIENTIST_M4:Jacob,143,147,-4,1764.65,1995.11,230.46,548,483
TRAINER_Alessa:Alessa#6,17,13,4,2186.39,2420.57,234.18,548,483
TRAINER_Zain:Zain#2,38,42,-4,2084.23,2282.85,198.62,548,483
WILDPACK:Frigid,149,145,4,1757.54,1996.63,239.09,548,483
WILDPACK:Muggy,150,146,4,1754.57,1996.63,242.06,548,483
