trainer,rank_doubles,rank_doubles_uncursed,rank_delta,rating_doubles,rating_doubles_uncursed,rating_delta,battles_doubles,battles_doubles_uncursed
LEADER_Samorn:Samorn#1,34,150,-116,2177.97,1879.38,-298.59,548,536
MASKEDVILLAIN2:Teal#21,32,138,-106,2181.32,1932.87,-248.45,548,536
MASKEDVILLAIN2:Teal#19,38,119,-81,2162.04,1991.45,-170.59,548,536
MASKEDVILLAIN2:Teal#15,7,87,-80,2281.04,2070.19,-210.85,548,536
TRAINER_Zain:Zain#1,249,313,-64,1576.4,1437.68,-138.72,548,536
TRAINER_Zain:Zain#3,29,84,-55,2186.39,2072.02,-114.37,548,536
LEADER_Bence:Bence#3,3,57,-54,2378.53,2115.43,-263.1,548,536
MASKEDVILLAIN2:Teal#17,13,67,-54,2256.23,2097.51,-158.72,548,536
MASKEDVILLAIN:Crimson#11,151,200,-49,1864.33,1742.87,-121.46,548,536
TAPU_KOKO:Tapu Koko#1,31,78,-47,2184.83,2081.17,-103.66,548,536
MASKEDVILLAIN_DOUBLE:Crimson#1,166,209,-43,1803.75,1712.25,-91.5,548,536
MASKEDVILLAIN:Crimson#9,175,217,-42,1779.76,1697.85,-81.91,548,536
TRAINER_Sang:Sang#3,130,172,-42,1908.07,1813.18,-94.89,548,536
MASKEDVILLAIN2:Teal#9,80,121,-41,2048.21,1980.08,-68.13,548,536
LEADER_Noel:Noel#1,223,262,-39,1653.02,1557.18,-95.84,548,536
LEADER_Rafael:Rafael#1,363,401,-38,1244.45,1139.36,-105.09,548,536
POKEMONTRAINER_Yezera:Yezera#9,2,32,-30,2395.48,2178.6,-216.88,548,536
LEADER_Victoire:Victoire#1,167,196,-29,1800.83,1751.77,-49.06,548,536
MASKEDVILLAIN2:Teal#5,154,183,-29,1840.49,1787.23,-53.26,548,536
MASKEDVILLAIN:Crimson#5,203,232,-29,1711.33,1644.09,-67.24,548,536
MASKEDVILLAIN2_DOUBLE:Teal#13,9,37,-28,2275.53,2168.12,-107.41,548,536
MASKEDVILLAIN:Crimson#3,236,260,-24,1616.21,1562.54,-53.67,548,536
MASKEDVILLAIN:Crimson#7,217,241,-24,1669.35,1608.23,-61.12,548,536
ANOTHERPOSSIBLEALESSA:Alessa,58,35,23,2088.19,2171.61,83.42,548,536
MASKEDVILLAIN2:Teal#7,137,160,-23,1896.59,1842.28,-54.31,548,536
TAPU_LELE:Tapu Lele#1,40,63,-23,2151.63,2105.88,-45.75,548,535
TRAINER_Eifion:Eifion#3,71,48,23,2064.66,2134.6,69.94,548,536
KILLU:Killu,64,42,22,2077.38,2150.67,73.29,548,536
MASKEDVILLAIN:Crimson#19,88,110,-22,2033.5,2012.3,-21.2,548,536
IDEALTRAINER:of Freedom,70,50,20,2064.91,2124.44,59.53,548,536
MASKEDVILLAIN:Crimson#21,105,125,-20,1992.55,1966.81,-25.74,548,536
FORMERCHAMP_Scilla:Scilla,47,28,19,2129.88,2188.27,58.39,548,536
LEADER_Lambert:Lambert#3,39,58,-19,2161.01,2113.65,-47.36,548,536
SCIENTIST_F:LunaFlare,35,17,18,2177.8,2242.56,64.76,548,536
TRAINER_Sang:Sang#5,8,26,-18,2276.76,2206.88,-69.88,548,536
WILDPACK:Frigid,186,168,18,1757.54,1816.84,59.3,548,536
ANOTHERPOSSIBLEALESSA:Alessa#1,46,29,17,2134.21,2185.61,51.4,548,536
TAPU_FINI:Tapu Fini#1,135,118,17,1896.61,1993.35,96.74,548,536
HIKER:Valrex,76,60,16,2055.54,2108.29,52.75,548,536
MASKEDVILLAIN:Crimson#17,56,72,-16,2102.49,2090.27,-12.22,548,536
POKEMONTRAINER_Yezera:Yezera#1,465,481,-16,823.37,782.91,-40.46,548,536
TAPU_BULU:Tapu Bulu,49,33,16,2127.21,2178.6,51.39,548,536
WILDPACK:Cosmic,149,133,16,1871.65,1940.38,68.73,548,536
ARCHFRIEND_Lainie:Lainie,81,66,15,2042.69,2099.29,56.6,548,536
LEADER_Samorn:Samorn#2,59,44,15,2088.04,2146.81,58.77,548,536
TRAINER_Sang:Sang#4,67,52,15,2072.78,2122.53,49.75,548,536
ANOTHERPOSSIBLETAMARIND:Tamarind#1,68,54,14,2068.31,2120.64,52.33,548,536
LEADER_Eko:Eko#2,75,61,14,2057.33,2108.29,50.96,548,536
LEADER_Lambert:Lambert#2,94,80,14,2015.21,2079.35,64.14,548,536
MASKEDVILLAIN:Crimson#15,69,83,-14,2066.55,2072.02,5.47,548,536
MASKEDVILLAIN:Crimson#18,141,127,14,1885.83,1955.46,69.63,548,536
MASKEDVILLAIN_Sang:Silver#1,238,252,-14,1605.99,1578.29,-27.7,548,536
POKEMONMASTER_Vanya:Vanya#18,83,69,14,2040.84,2093.89,53.05,548,536
PROFESSOR_Tamarind:Tamarind,79,65,14,2050.09,2099.31,49.22,548,536
POKEMONMASTER_Vanya:Vanya,170,157,13,1790.81,1850.94,60.13,548,536
POKEMONMASTER_Vanya:Vanya#3,110,97,13,1977.63,2046.1,68.47,548,536
POKEMONRANGER_M:Zufaix,43,30,13,2142.98,2184.0,41.02,548,536
COOLTRAINER_M7:X,57,45,12,2095.38,2145.51,50.13,548,536
DRAGONTAMER_F:Zinnia,108,96,12,1985.09,2049.83,64.74,548,536
MASKEDVILLAIN2:Teal#22,23,11,12,2193.4,2259.98,66.58,548,536
POKEMONMASTER_Vanya:Vanya#15,142,130,12,1885.83,1944.14,58.31,548,536
POKEMONMASTER_Vanya:Vanya#16,143,131,12,1885.83,1944.14,58.31,548,536
POKEMONMASTER_Vanya:Vanya#17,74,62,12,2059.2,2108.29,49.09,548,536
TRAINER_Zain:Zain#2,61,49,12,2084.23,2127.4,43.17,548,536
FORMERCHAMP_Elise:Elise,33,22,11,2181.26,2230.99,49.73,548,536
GUITARIST3:Envy,90,79,11,2022.34,2079.35,57.01,548,536
HARLEQUIN:Minty,96,85,11,2013.18,2070.8,57.62,548,536
RICHBOY4:Darlvon,100,89,11,2009.33,2060.98,51.65,548,536
SPIRITGUARDIAN4:Brigitte,99,88,11,2011.19,2068.34,57.15,548,536
ULTRALAINIE:Lainie,30,19,11,2186.39,2236.36,49.97,548,536
BEAUTY5:Esme,171,161,10,1784.99,1835.38,50.39,548,536
ELDER:Logun,50,40,10,2111.75,2152.72,40.97,548,536
FORMERCHAMP_Vincent:Vincent,41,31,10,2148.66,2182.63,33.97,548,536
KATY:Manycrows,66,56,10,2073.76,2115.43,41.67,548,536
MASKEDVILLAIN2:Teal#11,54,64,-10,2109.59,2104.7,-4.89,548,536
SEEKER_Nora:Nora#1,48,38,10,2127.21,2168.12,40.91,548,536
SHADOWMAVIS:Mavis#1,22,12,10,2196.92,2259.98,63.06,548,536
ANOTHERPOSSIBLETAMARIND:Tamarind,85,76,9,2038.95,2083.0,44.05,548,536
CLERK_M2:Papper,116,107,9,1960.89,2019.83,58.94,548,536
FAIRYTALEGIRL:Emmi,55,46,9,2102.49,2143.67,41.18,548,536
FORMERCHAMP_Ansel:Ansel,62,53,9,2079.2,2120.76,41.56,548,536
FORMERCHAMP_Elise:Elise#1,36,27,9,2168.68,2202.93,34.25,548,536
HEXMANIAC_1:Riptide#1,123,132,-9,1920.68,1942.59,21.91,548,536
LEADER_Bence:Bence#2,60,51,9,2084.59,2122.53,37.94,548,536
LEADER_Helena:Helena#2,86,77,9,2037.2,2081.17,43.97,548,536
MASKEDVILLAIN:Crimson#14,113,104,9,1968.79,2025.83,57.04,548,536
ODDISH:Oddium,14,5,9,2240.66,2308.93,68.27,548,536
POKEMONMASTER_Vanya:Vanya#9,121,112,9,1940.45,2012.28,71.83,548,536
POKEMONTRAINER_Vanya:Vanya,45,36,9,2137.7,2171.61,33.91,548,536
TOURISTM:Calvin,204,195,9,1710.28,1751.88,41.6,548,536
TRAINER_Skyler:Skyler,84,75,9,2039.66,2084.82,45.16,548,536
CHALLENGER_Vanya:Vanya#8,95,103,-8,2014.98,2029.24,14.26,548,536
DRAGONTAMER_F:Bella,124,116,8,1918.38,1993.35,74.97,548,536
IDEALTRAINER:of Tradition,163,155,8,1815.22,1868.6,53.38,548,536
LOST_RANGER_BLUE:Farid,250,242,8,1576.22,1605.77,29.55,548,536
MASKEDVILLAIN2:Teal#10,102,94,8,2003.74,2055.63,51.89,548,536
MASKEDVILLAIN2:Teal#16,82,90,-8,2040.84,2060.96,20.12,548,536
POKEMONTRAINER_Yezera:Yezera#5,347,355,-8,1312.31,1289.85,-22.46,548,536
POKEMONTRAINER_Yezera:Yezera#8,89,81,8,2029.76,2075.69,45.93,548,536
TAPU_KOKO:Tapu Koko,51,43,8,2111.7,2148.79,37.09,548,536
WILDPARTY_BULU:of Abundance,194,186,8,1739.99,1785.73,45.74,548,536
BIRDKEEPER_M2:Vlasta,211,204,7,1693.35,1728.37,35.02,548,536
BURGLAR:Devin,178,171,7,1772.24,1813.2,40.96,548,536
COOLTRAINER_F7:Nyx,219,212,7,1667.01,1703.26,36.25,548,536
CRIMINALTEAM:Gianna and Rocco,213,206,7,1673.21,1723.5,50.29,548,536
GAMBLER:Tiki,172,165,7,1784.99,1828.55,43.56,548,536
IDEALTRAINER:of Brilliance,63,70,-7,2079.18,2092.09,12.91,548,536
MASKEDVILLAIN2:Teal#18,139,146,-7,1889.41,1910.52,21.11,548,536
MASKEDVILLAIN:Crimson#22,17,10,7,2222.02,2276.78,54.76,548,536
MASKEDVILLAIN_DOUBLE:Crimson#12,106,99,7,1992.55,2042.37,49.82,548,536
PILOT:Kurtis,255,248,7,1560.65,1589.58,28.93,548,536
