trainer,rank_singles_cursed_excluded,rank_doubles_cursed_excluded,rank_delta,rating_singles_cursed_excluded,rating_doubles_cursed_excluded,rating_delta,battles_singles_cursed_excluded,battles_doubles_cursed_excluded
HEXMANIAC_1:Riptide,299,218,81,1308.88,1692.89,384.01,521,483
MASKEDVILLAIN2:Teal#20,58,136,-78,2252.04,2017.65,-234.39,520,483
MASKEDVILLAIN:Crimson#20,57,133,-76,2256.49,2028.07,-228.42,504,483
POKEMONRANGER_F_GANG:Amber,117,191,-74,2093.32,1829.89,-263.43,489,483
VETERANM_2:Kirbae,74,8,66,2222.56,2456.83,234.27,503,483
POKEMONMASTER_Vanya:Vanya#19,108,43,65,2115.34,2281.46,166.12,489,483
POKEMONRANGER_F2_GANG:Mina,101,163,-62,2129.49,1931.56,-197.93,521,483
POKEMONMASTER_Vanya:Vanya#18,109,52,57,2112.97,2261.95,148.98,507,483
FORMERCHAMP_Casey:Casey,45,99,-54,2283.7,2152.29,-131.41,505,483
LEADER_Victoire:Victoire,124,175,-51,2078.99,1889.18,-189.81,520,483
WILDPACK:Cosmic,161,110,51,1969.1,2130.69,161.59,489,483
TRAINER_Alessa:Alessa#3,29,79,-50,2359.77,2218.69,-141.08,489,483
JUGGLER:Brickbat,165,116,49,1953.88,2110.39,156.51,544,483
POKEMONRANGER_M:Zufaix,70,22,48,2229.92,2352.42,122.5,554,483
HARLEQUIN:Regis,208,162,46,1738.4,1933.65,195.25,520,483
POKEMONMASTER_Vanya:Vanya#5,32,75,-43,2348.57,2223.66,-124.91,521,483
SCIENTIST_M4:Jacob,189,147,42,1832.31,1995.11,162.8,489,483
TAPU_FINI:Tapu Fini,61,103,-42,2245.26,2142.17,-103.09,489,483
TRAINER_Sang:Sang#4,80,38,42,2211.41,2290.69,79.28,487,483
ANOTHERPOSSIBLEZAIN:Zain,63,104,-41,2241.45,2138.65,-102.8,489,483
JANITOR:Steeb,113,73,40,2098.17,2225.36,127.19,548,483
POKEMONMASTER_Vanya:Vanya#1,47,86,-39,2280.32,2195.88,-84.44,489,483
WILDPACK:Lunar,166,127,39,1953.22,2055.84,102.62,521,483
BIRDKEEPER_F:Danika,129,167,-38,2059.45,1919.82,-139.63,520,483
MASKEDVILLAIN_Sang:Silver,249,211,38,1584.92,1718.02,133.1,488,483
POKEMONMASTER_Vanya:Vanya#4,158,120,38,1984.28,2089.63,105.35,489,483
POKEMONMASTER_Vanya:Vanya#8,144,106,38,2017.81,2138.65,120.84,507,483
FORMERCHAMP_Ansel:Ansel,3,40,-37,2611.88,2285.63,-326.25,521,483
RICHBOY4:Darlvon,98,61,37,2149.55,2246.86,97.31,528,483
ARCHFRIEND_Lainie:Lainie,92,56,36,2179.73,2253.6,73.87,544,483
COOLTRAINER_M7:Nero,60,96,-36,2250.34,2165.64,-84.7,547,483
HEXMANIAC_1:Riptide#1,64,100,-36,2238.93,2151.54,-87.39,520,483
POKEMONTRAINER_Yezera:Yezera#10,175,139,36,1889.26,2009.21,119.95,488,483
SPIRITGUARDIAN4:Brigitte,31,67,-36,2349.18,2241.89,-107.29,489,483
SAILOR2:Angelo,213,248,-35,1708.05,1558.58,-149.47,521,483
TRAINER_Skyler:Skyler,94,59,35,2176.31,2248.52,72.21,489,483
WILDPACK:Muggy,181,146,35,1866.55,1996.63,130.08,520,483
BURGLAR:Devin,172,138,34,1911.26,2012.08,100.82,505,483
MASKEDVILLAIN2:Teal#14,44,78,-34,2285.97,2218.69,-67.28,489,483
WORKER3:Seamus,274,308,-34,1430.69,1244.23,-186.46,489,483
