trainer,rank_singles,rank_doubles,rank_delta,rating_singles,rating_doubles,rating_delta,battles_singles,battles_doubles
VETERANM_2:Kirbae,121,26,95,1981.08,2222.02,240.94,552,548
HEXMANIAC_1:Riptide,356,272,84,1330.26,1551.33,221.07,554,548
MASKEDVILLAIN:Crimson#20,101,180,-79,2016.42,1796.5,-219.92,553,548
POKEMONRANGER_F_GANG:Amber,169,244,-75,1832.43,1631.5,-200.93,554,548
POKEMONMASTER_Vanya:Vanya#19,148,76,72,1884.76,2075.57,190.81,554,548
MASKEDVILLAIN2:Teal#20,106,177,-71,2009.48,1807.28,-202.2,554,548
FORMERCHAMP_Casey:Casey,76,144,-68,2089.46,1901.97,-187.49,553,548
POKEMONRANGER_F2_GANG:Mina,142,210,-68,1910.04,1725.81,-184.23,554,548
POKEMONRANGER_M:Zufaix,119,54,65,1983.28,2142.98,159.7,554,548
FORMERCHAMP_Ansel:Ansel,13,73,-60,2305.94,2079.2,-226.74,554,548
TRAINER_Alessa:Alessa#3,59,119,-60,2158.77,1990.81,-167.96,554,548
LEADER_Victoire:Victoire#1,120,179,-59,1982.53,1800.83,-181.7,554,548
JANITOR:Steeb,165,110,55,1842.66,2011.19,168.53,554,548
POKEMONMASTER_Vanya:Vanya#18,150,95,55,1881.19,2040.84,159.65,554,548
HARLEQUIN:Regis,265,211,54,1564.61,1712.8,148.19,554,548
MASKEDVILLAIN:Crimson#21,63,117,-54,2146.01,1992.55,-153.46,554,548
WILDPACK:Cosmic,215,161,54,1720.89,1871.65,150.76,554,548
PUNKM:ValourDyke,85,33,52,2059.22,2193.4,134.18,553,548
TOURISTM:Azeler,61,9,52,2147.92,2281.79,133.87,552,548
SCIENTIST_M4:Jacob,243,192,51,1626.63,1764.65,138.02,554,548
JUGGLER:Brickbat,205,158,47,1750.47,1878.72,128.25,553,548
POKEMONMASTER_Vanya:Vanya#1,82,129,-47,2068.55,1957.83,-110.72,554,548
TAPU_FINI:Tapu Fini,94,141,-47,2033.13,1908.16,-124.97,554,548
POKEMONTRAINER_Yezera:Yezera#10,231,185,46,1660.84,1784.99,124.15,553,548
SPIRITGUARDIAN4:Brigitte,65,111,-46,2142.45,2011.19,-131.26,554,548
LEADER_Victoire:Victoire,179,224,-45,1807.19,1688.13,-119.06,554,548
MASKEDVILLAIN:Crimson#14,81,125,-44,2070.2,1968.79,-101.41,554,548
TRAINER_Sang:Sang#4,122,78,44,1980.48,2072.78,92.3,552,548
ANOTHERPOSSIBLEZAIN:Zain,107,150,-43,2009.04,1889.41,-119.63,554,548
POKEMONMASTER_Vanya:Vanya#4,208,165,43,1746.8,1861.14,114.34,554,548
TRAINER_Sang:Sang#5,55,12,43,2163.73,2276.76,113.03,554,548
POKEMONMASTER_Vanya:Vanya#5,62,104,-42,2147.87,2018.76,-129.11,554,548
WILDPACK:Lunar,218,176,42,1701.9,1813.32,111.42,554,548
LEADER_Eko:Eko#2,45,86,-41,2192.13,2057.33,-134.8,554,548
POKEMONMASTER_Vanya:Vanya#8,186,145,41,1786.55,1901.97,115.42,554,548
SUPERNERD:Agentbla,129,88,41,1961.93,2055.54,93.61,554,548
ANOTHERPOSSIBLEZAIN:Zain#1,91,131,-40,2048.02,1949.72,-98.3,554,548
DELINQUENT:Lilypad,46,84,-38,2185.0,2059.2,-125.8,554,548
HEXMANIAC_1:Riptide#1,97,135,-38,2018.32,1920.68,-97.64,553,548
POKEMONTRAINER_Vanya:Vanya,18,56,-38,2277.74,2137.7,-140.04,554,548
TAPU_FINI:Tapu Fini#1,109,147,-38,2008.8,1896.61,-112.19,554,548
TRAINER_Skyler:Skyler,134,96,38,1950.73,2039.66,88.93,554,548
VETERANM_3:Pearce,236,274,-38,1643.62,1549.31,-94.31,553,548
WILDPACK:Arid,257,220,37,1580.45,1695.97,115.52,554,548
WORKER3:Seamus,328,365,-37,1403.65,1283.3,-120.35,554,548
ANOTHERPOSSIBLEALESSA:Alessa#1,21,57,-36,2271.27,2134.21,-137.06,554,548
BIRDKEEPER_F:Danika,176,212,-36,1813.78,1712.03,-101.75,554,548
IDEALTRAINER:of Brilliance,110,74,36,2006.93,2079.18,72.25,554,548
LEADER_Samorn:Samorn#3,14,50,-36,2296.9,2160.27,-136.63,554,548
MASKEDVILLAIN2:Teal#14,80,116,-36,2073.88,1992.55,-81.33,554,548
MASKEDVILLAIN2:Teal#16,130,94,36,1958.2,2040.84,82.64,554,548
SAILOR2:Angelo,268,304,-36,1555.44,1476.26,-79.18,554,548
MASKEDVILLAIN_Sang:Silver,303,268,35,1489.09,1558.38,69.29,553,548
POKEMONMASTER_Vanya:Vanya#14,140,105,35,1911.86,2016.87,105.01,554,548
POKEMONRANGER_M2_GANG:Terrance,104,139,-35,2011.32,1914.72,-96.6,554,548
TOURISTM:Calvin,181,216,-35,1796.22,1710.28,-85.94,554,548
ANOTHERPOSSIBLEALESSA:Alessa,35,69,-34,2217.39,2088.19,-129.2,554,548
POKEMONTRAINER_Yezera:Yezera#11,57,23,34,2159.15,2235.48,76.33,553,548
POKEMONTRAINER_Yezera:Yezera#8,135,101,34,1941.93,2029.76,87.83,553,548
ARCHFRIEND_Lainie:Lainie,126,93,33,1967.42,2042.69,75.27,553,548
MASKEDVILLAIN:Crimson#15,47,80,-33,2183.67,2066.55,-117.12,554,548
POKEMONMASTER_Vanya:Vanya#13,131,164,-33,1956.55,1861.14,-95.41,553,548
WAITRESS3:Destiny,60,27,33,2153.1,2208.79,55.69,554,548
BURGLAR:Devin,222,190,32,1688.29,1772.24,83.95,554,548
GUITARIST3:Envy,70,102,-32,2110.26,2022.34,-87.92,554,548
IDEALTRAINER:of Freedom,113,81,32,1997.58,2064.91,67.33,553,548
LEADER_Lambert:Lambert#2,75,106,-31,2097.65,2015.21,-82.44,554,548
MASKEDVILLAIN2:Teal#19,79,48,31,2081.21,2162.04,80.83,554,548
DRAGONTAMER2:Abraham,225,195,30,1670.21,1763.36,93.15,554,548
DRAGONTAMER_F:Bella,166,136,30,1841.76,1918.38,76.62,550,548
DRAGONTAMER_F:Zinnia,90,120,-30,2051.73,1985.09,-66.64,554,548
HIKER:Valrex,117,87,30,1986.09,2055.54,69.45,553,548
TRAINER_Keoni:Keoni#2,143,113,30,1904.63,2007.47,102.84,554,548
VANYAMOM:Vidya,277,247,30,1535.12,1619.82,84.7,554,548
COOLTRAINER_M7:Nero,108,137,-29,2008.8,1914.72,-94.08,554,548
DRAGONTAMER:Bataar,288,259,29,1519.82,1580.99,61.17,554,548
MEDIUM:Izumi,223,252,-29,1680.46,1599.14,-81.32,554,548
ODDISH:Oddium,50,21,29,2177.9,2240.66,62.76,554,548
BLACKBELT:Kai,309,281,28,1475.44,1526.4,50.96,554,548
HARLEQUIN:Minty,136,108,28,1935.86,2013.18,77.32,554,548
MASKEDVILLAIN2:Teal#3,191,219,-28,1777.8,1701.27,-76.53,553,548
ULTRALAINIE:Lainie,67,39,28,2138.9,2186.39,47.49,554,548
WILDPACK:Muggy,227,199,28,1664.7,1754.57,89.87,553,548
BATTLEGIRL:Tester,405,378,27,1164.62,1228.7,64.08,535,548
FORMERCHAMP_Scilla:Scilla,31,58,-27,2224.75,2129.88,-94.87,554,548
GARDENER:Larry,174,201,-27,1820.81,1749.73,-71.08,554,548
LEADER_Helena:Helena#3,43,16,27,2195.7,2268.38,72.68,554,548
TRAINER_Candy:Candy#1,44,17,27,2195.7,2260.23,64.53,554,548
TRAINER_Sang:Sang#2,216,189,27,1718.09,1772.3,54.21,554,548
ANOTHERPOSSIBLETAMARIND:Tamarind,123,97,26,1973.42,2038.95,65.53,553,548
JUGGLER:Mikael,355,329,26,1331.02,1396.57,65.55,553,548
TRAINER_Imogene_A:Imogene#1,98,124,-26,2018.32,1970.17,-48.15,553,548
ANCIENTPRIEST:Kazmilos,284,309,-25,1522.09,1458.66,-63.43,554,548
FAIRYTALEGIRL:Madeline,203,228,-25,1752.73,1670.29,-82.44,554,548
IDEALTRAINER:of Colors,178,203,-25,1809.72,1744.95,-64.77,553,548
LADY4:Pria,206,181,25,1747.88,1791.28,43.4,554,548
RICHBOY4:Darlvon,137,112,25,1922.87,2009.33,86.46,554,548
SCIENTIST_M2:Marco,425,400,25,1098.91,1169.26,70.35,554,548
TAPU_KOKO:Tapu Koko,87,62,25,2056.06,2111.7,55.64,554,548
BACKERS_M:Yanko and Orlando,341,317,24,1374.92,1445.75,70.83,553,548
POKEMONCHAMPION_Vanya:Vanya,10,34,-24,2322.3,2192.05,-130.25,554,548
POKEMONMASTER_Vanya:Vanya#20,190,214,-24,1779.3,1711.82,-67.48,552,547
POKEMONTRAINER_Vanya:Vanya#3,42,18,24,2210.11,2258.91,48.8,554,548
CLERK_M:Scott,269,292,-23,1547.66,1502.95,-44.71,553,548
JUGGLER:Youcef,323,346,-23,1431.65,1348.84,-82.81,553,548
LADY2:Eseria,32,55,-23,2224.75,2139.9,-84.85,554,548
MASKEDVILLAIN:Crimson#9,210,187,23,1740.11,1779.76,39.65,554,548
NIGHTMAREQUEEN_Elise:Elise,58,35,23,2158.85,2189.89,31.04,554,548
WILDPARTY_BULU:of Abundance,183,206,-23,1792.07,1739.99,-52.08,553,548
WORKER3:Bruce,347,324,23,1366.72,1424.44,57.72,554,548
ARTIST3:Drawingbox,175,197,-22,1819.01,1757.54,-61.47,554,548
BUGCATCHER_F:April,185,207,-22,1789.72,1737.12,-52.6,554,548
COOLTRAINER_F3:Leah,368,390,-22,1283.21,1207.47,-75.74,554,548
FORMERCHAMP_Praveen:Praveen,86,64,22,2057.37,2109.59,52.22,554,548
LEADER_Samorn:Samorn#2,48,70,-22,2179.2,2088.04,-91.16,554,548
MASKEDVILLAIN2_DOUBLE:Teal#1,116,138,-22,1986.99,1914.72,-72.27,551,548
MASKEDVILLAIN_DOUBLE:Crimson#12,96,118,-22,2024.47,1992.55,-31.92,553,548
PILOT:Charlie,293,315,-22,1503.75,1450.95,-52.8,554,548
POKEMONMASTER_Vanya:Vanya#10,152,130,22,1873.82,1953.36,79.54,554,548
SCIENTIST_F:LunaFlare,66,44,22,2141.96,2177.8,35.84,553,548
TRAINER_Alessa:Alessa#4,23,45,-22,2266.18,2168.98,-97.2,554,548
TRAINER_Zain:Zain#1,283,261,22,1524.36,1576.4,52.04,554,548
VETERANM:Yoshihiro,279,301,-22,1533.4,1483.65,-49.75,554,548
BACKERS_F:Maria and Iveta,237,258,-21,1638.16,1583.25,-54.91,554,548
MASKEDVILLAIN2:Teal#17,40,19,21,2216.89,2256.23,39.34,552,548
MASKEDVILLAIN2:Teal#21,20,41,-21,2272.34,2181.32,-91.02,552,548
SPIRITGUARDIAN2:Sonya#1,111,90,21,2006.93,2051.82,44.89,554,548
SWIMMER_F2:Astrid,273,294,-21,1544.64,1500.57,-44.07,554,548
TRAINER_Zain:Zain#2,51,72,-21,2177.9,2084.23,-93.67,554,548
BEAUTY:Gretchen,406,426,-20,1160.88,1071.88,-89.0,554,548
FORMERCHAMP_Elise:Elise,22,42,-20,2266.2,2181.26,-84.94,554,548
IDEALTRAINER:of Tradition,195,175,20,1774.7,1815.22,40.52,553,548
LEADER_Bence:Bence#1,352,332,20,1360.06,1393.71,33.65,554,548
LEADER_Noel:Noel#1,255,235,20,1582.52,1653.02,70.5,554,548
MASKEDVILLAIN2:Teal#2,220,240,-20,1697.49,1641.68,-55.81,554,548
POKEMONMASTER_Vanya:Vanya,202,182,20,1759.43,1790.81,31.38,553,548
POKEMONMASTER_Vanya:Vanya#6,182,162,20,1796.12,1868.13,72.01,554,548
POKEMONTRAINER_Vanya:Vanya#2,28,8,20,2244.48,2301.91,57.43,554,548
POKEMONTRAINER_Yezera:Yezera#7,103,83,20,2011.35,2061.02,49.67,554,548
ROUGHNECK2:Jaggedthorn,141,121,20,1910.1,1979.65,69.55,554,548
SWIMMER_F6:Kiana,275,295,-20,1537.89,1500.57,-37.32,554,548
TRAINER_Eifion:Eifion#1,114,134,-20,1995.72,1929.38,-66.34,553,548
CLOWN:Dimesmart,390,409,-19,1217.69,1133.52,-84.17,554,548
IDEALTRAINER:of Beauty,127,146,-19,1962.21,1900.2,-62.01,553,548
OFFICEWORKER_M:Kurt,321,302,19,1432.99,1481.2,48.21,554,548
POKEMONMASTER_Vanya:Vanya#11,145,126,19,1890.29,1962.72,72.43,554,548
POKEMONTRAINER_Yezera:Yezera#4,413,394,19,1133.34,1184.58,51.24,554,548
PSYCHIC_M3:Boban,416,397,19,1125.37,1177.98,52.61,554,548
TRAINER_Zain:Zain#3,19,38,-19,2274.25,2186.39,-87.86,554,548
VETERAN_F:Emily,252,271,-19,1598.54,1551.58,-46.96,554,548
GAMBLER:IgnitedxSoul,158,140,18,1854.59,1911.02,56.43,554,548
GENTLEMAN3:Oliver,374,356,18,1260.7,1319.0,58.3,554,548
LEADER_Noel:Noel,300,282,18,1492.09,1524.08,31.99,554,548
MASKEDVILLAIN2:Teal#11,83,65,18,2064.78,2109.59,44.81,554,548
POKEMONTRAINER_Yezera:Yezera#6,212,194,18,1729.25,1763.52,34.27,554,548
SEEKER_Nora:Nora,209,227,-18,1740.93,1670.77,-70.16,554,548
SHADOWMAVIS:Mavis,170,188,-18,1830.49,1774.78,-55.71,554,548
TRAINER_Alessa:Alessa#5,271,289,-18,1546.88,1509.6,-37.28,554,548
TUBER_M:Derek,401,383,18,1180.61,1222.45,41.84,554,548
ARTIFICIALTRAINER:Solitaire,336,353,-17,1383.36,1333.07,-50.29,487,548
ARTIST3:Frida,367,350,17,1284.71,1339.43,54.72,554,548
FORMERCHAMP_Vincent:Vincent,69,52,17,2122.87,2148.66,25.79,552,548
POKEFAN_F:Impi,397,380,17,1206.59,1228.02,21.43,554,548
POKEMONBREEDER_M2:Pechapanda,304,287,17,1487.62,1514.33,26.71,554,548
POKEMONMASTER_Vanya:Vanya#3,139,122,17,1917.42,1977.63,60.21,554,548
SCIENTIST_M3:Gunter,247,230,17,1614.61,1668.64,54.03,554,548
TRAINER_Imogene_A:Imogene,508,525,-17,701.7,605.03,-96.67,553,548
VANYADAD:Avram,294,277,17,1501.44,1535.41,33.97,554,548
ANCIENTPRIEST:Chestibor,317,333,-16,1440.72,1390.82,-49.9,554,548
COOLTRAINER_M7:X,52,68,-16,2176.4,2095.38,-81.02,554,548
HEXMANIAC:Errata,12,28,-16,2310.56,2207.57,-102.99,554,548
LASS:Rovina,342,326,16,1373.29,1416.23,42.94,554,548
LEADER_Lambert:Lambert#3,33,49,-16,2220.08,2161.01,-59.07,554,548
