trainer,rank_singles,rank_singles_cursed_excluded,rank_delta,rating_singles,rating_singles_cursed_excluded,rating_delta,battles_singles,battles_singles_cursed_excluded
HARLEQUIN:Minty,93,77,16,1935.86,2216.84,280.98,554,551
ARTIFICIALTRAINER:Solitaire,280,266,14,1383.36,1490.42,107.06,487,444
SUPERNERD:Agentbla,86,73,13,1961.93,2223.52,261.59,554,549
GAMBLER:Tiki,147,157,-10,1774.02,1985.02,211.0,554,528
LEADER_Helena:Helena#2,66,76,-10,2010.68,2217.92,207.24,554,521
MASKEDVILLAIN:Crimson#16,76,86,-10,1984.42,2197.6,213.18,554,489
ARCHFRIEND_Lainie:Lainie,83,92,-9,1967.42,2179.73,212.31,553,544
COOLTRAINER_M7:Nero,69,60,9,2008.8,2250.34,241.54,554,547
DRAGONTAMER:Arthur,186,195,-9,1638.16,1792.8,154.64,554,534
GARDENER:Larry,127,136,-9,1820.81,2038.38,217.57,554,520
JUGGLER:Brickbat,156,165,-9,1750.47,1953.88,203.41,553,544
MASKEDVILLAIN2:Teal#20,67,58,9,2009.48,2252.04,242.56,554,520
DANDY:Roger,155,147,8,1752.71,2009.29,256.58,554,521
LEADER_Victoire:Victoire,132,124,8,1807.19,2078.99,271.8,554,520
CHALLENGER_Vanya:Vanya#8,71,78,-7,2003.18,2215.67,212.49,554,505
COOLTRAINER_F7:Nyx,193,200,-7,1619.26,1768.77,149.51,554,538
IDEALTRAINER:of Beauty,84,91,-7,1962.21,2180.0,217.79,553,488
IDEALTRAINER:of Tradition,146,139,7,1774.7,2034.0,259.3,553,520
LADY4:Pria,157,164,-7,1747.88,1964.39,216.51,554,553
POKEMONRANGER_M:Zufaix,77,70,7,1983.28,2229.92,246.64,554,554
COLLECTOR:Mirko,321,315,6,1254.13,1225.1,-29.03,554,551
IDEALTRAINER:of Days,121,127,-6,1839.23,2069.37,230.14,554,520
JANITOR:Steeb,119,113,6,1842.66,2098.17,255.51,554,548
MASKEDVILLAIN:Crimson#20,63,57,6,2016.42,2256.49,240.07,553,504
MASKEDVILLAIN:Crimson#6,215,221,-6,1546.88,1683.88,137.0,554,520
NIGHTMAREQUEEN_Elise:Elise,27,33,-6,2158.85,2343.27,184.42,554,489
POKEMONRANGER_F_GANG:Amber,123,117,6,1832.43,2093.32,260.89,554,489
PROFESSOR_Tamarind:Tamarind,61,67,-6,2018.18,2233.64,215.46,554,505
TRAINER_Eifion:Eifion#1,73,79,-6,1995.72,2214.22,218.5,553,489
WILDPACK:Muggy,175,181,-6,1664.7,1866.55,201.85,553,520
ANOTHERPOSSIBLEZAIN:Zain,68,63,5,2009.04,2241.45,232.41,554,489
DRAGONTAMER_F:Zinnia,54,49,5,2051.73,2273.39,221.66,554,520
HEXMANIAC_1:Riptide#1,59,64,-5,2018.32,2238.93,220.61,553,520
LADY2:Eseria,12,17,-5,2224.75,2442.34,217.59,554,505
MASKEDVILLAIN:Crimson#18,114,119,-5,1851.1,2089.94,238.84,554,521
NINJABOY:Hwan,405,400,5,878.13,785.59,-92.54,554,551
POKEMONMASTER_Vanya:Vanya#16,115,120,-5,1851.09,2089.24,238.15,554,521
POKEMONMASTER_Vanya:Vanya#8,139,144,-5,1786.55,2017.81,231.26,554,507
POKEMONRANGER_F2:Amahle,426,421,5,813.58,697.71,-115.87,554,543
POKEMONTRAINER_Vanya:Vanya#1,16,11,5,2217.39,2480.01,262.62,554,521
