trainer,rank_singles,rank_singles_uncursed,rank_delta,rating_singles,rating_singles_uncursed,rating_delta,battles_singles,battles_singles_uncursed
LEADER_Samorn:Samorn#1,38,164,-126,2177.9,1844.31,-333.59,554,542
POKEMONTRAINER_Yezera:Yezera#9,2,119,-117,2372.82,1984.44,-388.38,554,542
MASKEDVILLAIN2:Teal#19,68,130,-62,2081.21,1938.98,-142.23,554,542
LEADER_Bence:Bence#3,3,56,-53,2345.2,2143.65,-201.55,554,542
MASKEDVILLAIN:Crimson#11,159,207,-48,1830.4,1716.71,-113.69,554,542
TRAINER_Sang:Sang#3,134,182,-48,1886.0,1802.7,-83.3,554,542
MASKEDVILLAIN2:Teal#21,13,59,-46,2272.34,2128.53,-143.81,552,541
TAPU_KOKO:Tapu Koko#1,18,64,-46,2247.4,2118.64,-128.76,554,542
MASKEDVILLAIN2:Teal#9,82,127,-45,2035.13,1948.41,-86.72,554,542
MASKEDVILLAIN:Crimson#3,228,273,-45,1634.54,1539.19,-95.35,554,542
TAPU_LELE:Tapu Lele#1,43,87,-44,2170.81,2058.24,-112.57,554,541
TRAINER_Sang:Sang#5,44,86,-42,2163.73,2061.08,-102.65,554,541
LEADER_Noel:Noel#1,243,284,-41,1582.52,1517.46,-65.06,554,542
MASKEDVILLAIN2:Teal#15,9,49,-40,2295.83,2157.84,-137.99,554,542
TRAINER_Zain:Zain#1,271,311,-40,1524.36,1441.06,-83.3,554,541
LEADER_Rafael:Rafael#1,369,407,-38,1243.29,1135.95,-107.34,554,542
MASKEDVILLAIN2:Teal#17,30,68,-38,2216.89,2111.4,-105.49,552,542
TAPU_FINI:Tapu Fini#1,98,60,38,2008.8,2125.8,117.0,554,542
MASKEDVILLAIN:Crimson#19,84,121,-37,2029.4,1976.84,-52.56,554,542
MASKEDVILLAIN:Crimson#7,205,241,-36,1717.15,1610.18,-106.97,553,542
MASKEDVILLAIN:Crimson#5,207,242,-35,1699.56,1609.22,-90.34,554,541
LEADER_Lambert:Lambert#3,23,57,-34,2220.08,2136.52,-83.56,554,542
LEADER_Victoire:Victoire#1,108,140,-32,1982.53,1909.1,-73.43,554,542
MASKEDVILLAIN2:Teal#7,145,174,-29,1854.93,1821.36,-33.57,554,541
MASKEDVILLAIN_DOUBLE:Crimson#1,176,204,-28,1783.84,1722.87,-60.97,553,541
MASKEDVILLAIN2_DOUBLE:Teal#13,17,44,-27,2249.12,2171.9,-77.22,552,541
MASKEDVILLAIN:Crimson#9,198,225,-27,1740.11,1653.94,-86.17,554,542
MASKEDVILLAIN_Sang:Silver#1,244,270,-26,1580.45,1541.26,-39.19,554,541
MASKEDVILLAIN2:Teal#11,72,93,-21,2064.78,2050.91,-13.87,554,542
MASKEDVILLAIN2:Teal#3,179,199,-20,1777.8,1746.85,-30.95,553,542
ULTRALAINIE:Lainie,56,36,20,2138.9,2189.76,50.86,554,542
KATY:Manycrows,62,43,19,2108.31,2171.9,63.59,553,541
POKEMONTRAINER_Yezera:Yezera#5,349,368,-19,1304.64,1254.77,-49.87,554,542
SPIRITGUARDIAN4:Brigitte,54,35,19,2142.45,2194.31,51.86,554,542
TRAINER_Zain:Zain#3,12,31,-19,2274.25,2211.35,-62.9,554,542
FORMERCHAMP_Vincent:Vincent,58,41,17,2122.87,2173.77,50.9,552,540
MASKEDVILLAIN2:Teal#20,95,78,17,2009.48,2078.53,69.05,554,542
MASKEDVILLAIN2:Teal#5,142,159,-17,1859.98,1851.23,-8.75,554,542
TOURISTM:Azeler,50,33,17,2147.92,2201.07,53.15,552,540
WAITRESS3:Destiny,49,32,17,2153.1,2204.1,51.0,554,542
COOLTRAINER_M7:X,41,25,16,2176.4,2226.2,49.8,554,542
LEADER_Bence:Bence#2,57,42,15,2128.2,2172.0,43.8,554,542
COOLTRAINER_M7:Nero,97,83,14,2008.8,2065.56,56.76,554,542
HARLEQUIN:Minty,124,110,14,1935.86,2018.61,82.75,554,542
MASKEDVILLAIN2_DOUBLE:Teal#1,104,118,-14,1986.99,1987.77,0.78,551,540
SHADOWMAVIS:Mavis#1,28,14,14,2217.39,2277.55,60.16,554,542
TRAINER_Eifion:Eifion#3,66,52,14,2088.52,2150.75,62.23,554,542
FAIRYTALEGIRL:Emmi,53,40,13,2142.45,2182.64,40.19,554,542
KILLU:Killu,78,65,13,2054.11,2117.05,62.94,553,541
MASKEDVILLAIN:Crimson#20,90,77,13,2016.42,2087.57,71.15,553,541
POKEMONTRAINER_Yezera:Yezera#1,473,486,-13,817.92,769.33,-48.59,554,542
TRAINER_Candy:Candy#1,33,20,13,2195.7,2256.9,61.2,554,542
BIRDKEEPER_F:Danika,164,152,12,1813.78,1876.26,62.48,554,542
ELDER:Logun,42,30,12,2170.81,2215.0,44.19,554,542
LEADER_Eko:Eko#1,449,461,-12,899.5,880.12,-19.38,554,542
POKEMONMASTER_Vanya:Vanya#13,119,107,12,1956.55,2024.3,67.75,553,541
POKEMONTRAINER_Yezera:Yezera#11,46,34,12,2159.15,2194.82,35.67,553,541
TAPU_LELE:Tapu Lele,103,91,12,1991.77,2054.38,62.61,553,542
DELINQUENT:Lilypad,35,24,11,2185.0,2229.81,44.81,554,542
GUITARIST3:Envy,59,48,11,2110.26,2157.84,47.58,554,542
IDEALTRAINER:of Freedom,101,90,11,1997.58,2054.39,56.81,553,541
ODDISH:Oddium,39,28,11,2177.9,2222.36,44.46,554,542
POKEMONTRAINER_Vanya:Vanya#1,27,16,11,2217.39,2269.13,51.74,554,542
TRAINER_Sang:Sang#4,110,99,11,1980.48,2040.65,60.17,552,540
TRAINER_Zain:Zain#2,40,29,11,2177.9,2218.67,40.77,554,542
VETERANM_2:Kirbae,109,98,11,1981.08,2041.48,60.4,552,540
ANOTHERPOSSIBLETAMARIND:Tamarind#1,73,63,10,2062.97,2118.68,55.71,553,541
IDEALTRAINER:of Beauty,115,105,10,1962.21,2026.36,64.15,553,541
LEADER_Samorn:Samorn#2,37,27,10,2179.2,2222.36,43.16,554,542
MASKEDVILLAIN:Crimson#22,31,21,10,2212.66,2254.21,41.55,554,542
POKEMONMASTER_Vanya:Vanya#6,170,160,10,1796.12,1851.23,55.11,554,542
TAPU_BULU:Tapu Bulu,60,50,10,2110.26,2154.29,44.03,554,542
FORMERCHAMP_Elise:Elise#1,24,15,9,2218.29,2269.33,51.04,554,542
LEADER_Lambert:Lambert#2,64,55,9,2097.65,2145.47,47.82,554,542
LEADER_Victoire:Victoire,167,158,9,1807.19,1856.39,49.2,554,542
MASKEDVILLAIN2:Teal#22,26,17,9,2217.39,2265.0,47.61,554,542
MASKEDVILLAIN:Crimson#15,36,45,-9,2183.67,2168.46,-15.21,554,542
MASKEDVILLAIN:Crimson#16,106,97,9,1984.42,2045.02,60.6,554,542
NIGHTMAREQUEEN_Elise:Elise,47,38,9,2158.85,2184.8,25.95,554,542
POKEMONMASTER_Vanya:Vanya#20,178,169,9,1779.3,1829.22,49.92,552,540
POKEMONMASTER_Vanya:Vanya#9,126,117,9,1922.56,1993.31,70.75,553,541
POKEMONTRAINER_Vanya:Vanya#3,32,23,9,2210.11,2245.07,34.96,554,542
SCIENTIST_F:LunaFlare,55,46,9,2141.96,2160.75,18.79,553,541
SEEKER_Nora:Nora#1,63,54,9,2106.65,2147.2,40.55,554,542
TRAINER_Alessa:Alessa#3,48,39,9,2158.77,2184.75,25.98,554,542
WAITRESS2:Fanfan,91,82,9,2012.91,2065.71,52.8,554,542
ANOTHERPOSSIBLETAMARIND:Tamarind,111,103,8,1973.42,2030.13,56.71,553,541
ANOTHERPOSSIBLEZAIN:Zain,96,88,8,2009.04,2056.25,47.21,554,542
EXPERTF:Kimiko,187,179,8,1764.58,1811.45,46.87,554,542
FORMERCHAMP_Chara:Chara,61,53,8,2108.64,2149.12,40.48,554,542
FORMERCHAMP_Praveen:Praveen,75,67,8,2057.37,2113.28,55.91,554,542
IDEALTRAINER:of Tradition,183,175,8,1774.7,1820.73,46.03,553,541
JANITOR:Steeb,153,145,8,1842.66,1890.7,48.04,554,542
JUGGLER:Brickbat,193,185,8,1750.47,1797.51,47.04,553,541
LEADER_Eko:Eko#2,34,26,8,2192.13,2222.36,30.23,554,542
MASKEDVILLAIN2:Teal#14,69,61,8,2073.88,2122.21,48.33,554,542
MASKEDVILLAIN:Crimson#14,70,62,8,2070.2,2122.21,52.01,554,542
POKEMONBREEDER_F:Miss Zesty,150,142,8,1846.09,1894.36,48.27,554,542
POKEMONMASTER_Vanya:Vanya#7,185,177,8,1767.01,1819.72,52.71,553,541
POKEMONRANGER_F_GANG:Amber,157,149,8,1832.43,1879.79,47.36,554,542
POKEMONTRAINER_Yezera:Yezera#10,219,211,8,1660.84,1698.95,38.11,553,541
SAILOR:Dom,189,181,8,1761.58,1805.22,43.64,554,542
SUPERNERD:Agentbla,117,109,8,1961.93,2022.4,60.47,554,542
TAPU_BULU:Tapu Bulu#1,29,37,-8,2217.39,2187.77,-29.62,554,542
TAPU_FINI:Tapu Fini,83,75,8,2033.13,2091.43,58.3,554,542
WILDPACK:Solar,181,173,8,1776.57,1821.63,45.06,554,542
DRAGONTAMER:Bataar,276,269,7,1519.82,1541.48,21.66,554,542
EXPERTM:Hiroshi,220,213,7,1660.74,1696.08,35.34,553,541
HEXMANIAC_1:Riptide#1,86,79,7,2018.32,2078.52,60.2,553,541
IRISCOSPLAYER:Isabelle,175,168,7,1786.31,1837.29,50.98,554,542
KIMONOGIRL:Chiyo,274,267,7,1521.82,1545.89,24.07,553,541
LEADER_Helena:Helena#2,94,101,-7,2010.68,2037.5,26.82,554,542
MASKEDVILLAIN2:Teal#16,118,111,7,1958.2,2018.61,60.41,554,542
MASKEDVILLAIN2:Teal#23,4,11,-7,2341.33,2295.14,-46.19,554,542
POKEMONMASTER_Vanya:Vanya#10,140,133,7,1873.82,1925.84,52.02,554,542
POKEMONRANGER_M:Alastar,268,261,7,1530.73,1555.19,24.46,554,542
POKEMONTRAINER_Vanya:Vanya#2,19,12,7,2244.48,2292.16,47.68,554,542
POKEMONTRAINER_Yezera:Yezera#6,200,193,7,1729.25,1783.75,54.5,554,542
