trainer,rank_singles_uncursed,rank_doubles_uncursed,rank_delta,rating_singles_uncursed,rating_doubles_uncursed,rating_delta,battles_singles_uncursed,battles_doubles_uncursed
MASKEDVILLAIN2:Teal#20,78,170,-92,2078.53,1815.07,-263.46,542,536
MASKEDVILLAIN:Crimson#20,77,166,-89,2087.57,1823.78,-263.79,541,536
POKEMONTRAINER_Yezera:Yezera#9,119,32,87,1984.44,2178.6,194.16,542,536
HEXMANIAC_1:Riptide,344,259,85,1345.45,1568.65,223.2,542,536
VETERANM_2:Kirbae,98,16,82,2041.48,2247.97,206.49,540,536
MASKEDVILLAIN2:Teal#21,59,138,-79,2128.53,1932.87,-195.66,541,536
POKEMONRANGER_F_GANG:Amber,149,227,-78,1879.79,1661.45,-218.34,542,536
POKEMONMASTER_Vanya:Vanya#19,136,59,77,1916.52,2113.64,197.12,542,536
POKEMONRANGER_M:Zufaix,104,30,74,2029.96,2184.0,154.04,542,536
MASKEDVILLAIN:Crimson#21,58,125,-67,2136.31,1966.81,-169.5,541,536
WILDPACK:Cosmic,200,133,67,1746.85,1940.38,193.53,542,536
POKEMONMASTER_Vanya:Vanya#18,134,69,65,1923.98,2093.89,169.91,542,536
POKEMONRANGER_F2_GANG:Mina,132,197,-65,1931.44,1745.82,-185.62,542,536
FORMERCHAMP_Casey:Casey,66,128,-62,2113.94,1953.59,-160.35,542,536
TAPU_FINI:Tapu Fini,75,136,-61,2091.43,1933.48,-157.95,542,536
TRAINER_Alessa:Alessa#3,39,100,-61,2184.75,2038.63,-146.12,542,536
TRAINER_Sang:Sang#5,86,26,60,2061.08,2206.88,145.8,541,536
TAPU_FINI:Tapu Fini#1,60,118,-58,2125.8,1993.35,-132.45,542,536
HARLEQUIN:Regis,249,193,56,1584.74,1755.84,171.1,542,536
LEADER_Victoire:Victoire#1,140,196,-56,1909.1,1751.77,-157.33,542,536
ANOTHERPOSSIBLEZAIN:Zain,88,143,-55,2056.25,1921.66,-134.59,542,536
HEXMANIAC_1:Riptide#1,79,132,-53,2078.52,1942.59,-135.93,541,536
SCIENTIST_M4:Jacob,228,175,53,1649.39,1799.98,150.59,542,536
SPIRITGUARDIAN4:Brigitte,35,88,-53,2194.31,2068.34,-125.97,542,536
TRAINER_Zain:Zain#3,31,84,-53,2211.35,2072.02,-139.33,542,536
JANITOR:Steeb,145,93,52,1890.7,2057.26,166.56,542,536
BIRDKEEPER_F:Danika,152,203,-51,1876.26,1728.37,-147.89,542,536
LEADER_Victoire:Victoire,158,208,-50,1856.39,1717.05,-139.34,542,536
FORMERCHAMP_Ansel:Ansel,4,53,-49,2328.86,2120.76,-208.1,542,536
POKEMONMASTER_Vanya:Vanya#4,196,149,47,1768.23,1899.46,131.23,542,536
TRAINER_Sang:Sang#4,99,52,47,2040.65,2122.53,81.88,540,536
ARCHFRIEND_Lainie:Lainie,112,66,46,2014.82,2099.29,84.47,541,536
PUNKM:ValourDyke,69,24,45,2111.35,2225.1,113.75,541,536
DELINQUENT:Lilypad,24,68,-44,2229.81,2093.89,-135.92,542,536
