rank,trainer,rating,tier,se,ci_low,ci_high,overlap,wins,losses,draws,battles
1,ANOTHERPOSSIBLERAFAEL:Rafael#1,2505.55,S+,44.58,2418.18,2592.91,1,548,0,0,548
2,ANOTHERPOSSIBLERAFAEL:Rafael,2496.7,S+,43.81,2410.82,2582.57,1,547,1,0,548
3,POKEMONTRAINER_Yezera:Yezera#9,2395.48,S+,36.67,2323.6,2467.36,3,533,14,1,548
4,LEADER_Bence:Bence#3,2378.53,S+,35.52,2308.92,2448.15,4,531,17,0,548
5,MASKEDVILLAIN2:Teal#23,2343.78,S+,33.67,2277.79,2409.77,7,525,23,0,548
6,FORMERCHAMP_Elise:Elise#2,2331.02,S+,33.19,2265.97,2396.08,13,521,25,2,548
7,SPIRITGUARDIAN4:Brigitte#1,2313.0,S+,32.22,2249.84,2376.15,15,519,29,0,548
8,POKEMONTRAINER_Vanya:Vanya#2,2301.91,S+,31.85,2239.48,2364.34,16,516,31,1,548
9,TOURISTM:Azeler,2281.79,S+,31.33,2220.38,2343.19,20,510,34,4,548
10,MASKEDVILLAIN2:Teal#15,2281.04,S+,30.9,2220.48,2341.61,20,512,36,0,548
11,COOLTRAINER_M7:X#1,2276.76,S+,30.74,2216.52,2337.0,20,511,37,0,548
12,TRAINER_Sang:Sang#5,2276.76,S+,30.74,2216.52,2337.0,20,511,37,0,548
13,MASKEDVILLAIN2_DOUBLE:Teal#13,2275.53,S+,30.76,2215.24,2335.81,20,510,37,1,548
14,NIGHTMAREQUEEN_Elise:Elise#1,2272.54,S+,30.58,2212.61,2332.47,20,510,38,0,548
15,MASKEDVILLAIN:Crimson#23,2271.02,S+,30.61,2211.02,2331.02,20,509,38,1,548
16,LEADER_Helena:Helena#3,2268.38,S+,30.42,2208.76,2328.01,20,509,39,0,548
17,TRAINER_Candy:Candy#1,2260.23,S+,30.13,2201.18,2319.28,21,507,41,0,548
18,POKEMONTRAINER_Vanya:Vanya#3,2258.91,S+,30.15,2199.82,2318.01,22,506,41,1,548
19,MASKEDVILLAIN2:Teal#17,2256.23,S+,29.99,2197.45,2315.0,22,506,42,0,548
20,SPIRITGUARDIAN3:Preeti#1,2256.23,S+,29.99,2197.45,2315.0,22,506,42,0,548
21,ODDISH:Oddium,2240.66,S+,29.46,2182.92,2298.4,31,502,46,0,548
22,LEADER_Eko:Eko#3,2236.12,S+,29.5,2178.31,2293.94,33,499,46,3,548
23,POKEMONTRAINER_Yezera:Yezera#11,2235.48,S+,29.36,2177.94,2293.03,34,500,47,1,548
24,TOURISTM:Chus,2233.51,S+,29.36,2175.96,2291.05,35,499,47,2,548
25,MASKEDVILLAIN:Crimson#22,2222.02,S+,28.87,2165.42,2278.61,36,497,51,0,548
26,VETERANM_2:Kirbae,2222.02,S+,28.87,2165.42,2278.61,36,497,51,0,548
27,WAITRESS3:Destiny,2208.79,S+,28.57,2152.8,2264.78,33,492,54,2,548
28,HEXMANIAC:Errata,2207.57,S+,28.45,2151.8,2263.34,33,493,55,0,548
29,SPIRITGUARDIAN3:Preeti,2200.46,S+,28.25,2145.08,2255.84,32,491,57,0,548
30,SHADOWMAVIS:Mavis#1,2196.92,S+,28.16,2141.73,2252.12,33,490,58,0,548
31,TRAINER_Eifion:Eifion#2,2193.77,S+,28.22,2138.47,2249.08,34,488,58,2,548
32,MASKEDVILLAIN2:Teal#22,2193.4,S+,28.06,2138.4,2248.41,34,489,59,0,548
33,PUNKM:ValourDyke,2193.4,S+,28.06,2138.4,2248.41,34,489,59,0,548
34,POKEMONCHAMPION_Vanya:Vanya,2192.05,S+,28.06,2137.04,2247.05,35,488,59,1,548
35,NIGHTMAREQUEEN_Elise:Elise,2189.89,S+,27.97,2135.07,2244.72,35,488,60,0,548
36,POKEMONTRAINER_Vanya:Vanya#1,2187.77,S+,27.99,2132.92,2242.63,36,487,60,1,548
37,TRAINER_Alessa:Alessa#6,2186.39,S+,27.88,2131.74,2241.04,36,487,61,0,548
38,TRAINER_Zain:Zain#3,2186.39,S+,27.88,2131.74,2241.04,36,487,61,0,548
39,ULTRALAINIE:Lainie,2186.39,S+,27.88,2131.74,2241.04,36,487,61,0,548
40,TAPU_KOKO:Tapu Koko#1,2184.83,S+,27.9,2130.14,2239.52,35,486,61,1,548
41,MASKEDVILLAIN2:Teal#21,2181.32,S+,27.81,2126.8,2235.84,37,485,62,1,548
42,FORMERCHAMP_Elise:Elise,2181.26,S+,27.82,2126.73,2235.8,37,485,62,1,548
43,LEADER_Samorn:Samorn#1,2177.97,S+,27.71,2123.66,2232.28,35,484,63,1,548
44,SCIENTIST_F:LunaFlare,2177.8,S+,27.73,2123.44,2232.16,35,484,63,1,548
45,TRAINER_Alessa:Alessa#4,2168.98,S+,27.45,2115.17,2222.79,35,482,66,0,548
46,FORMERCHAMP_Elise:Elise#1,2168.68,S+,27.45,2114.87,2222.49,35,481,66,1,548
47,TAPU_BULU:Tapu Bulu#1,2165.51,S+,27.37,2111.86,2219.16,33,481,67,0,548
48,MASKEDVILLAIN2:Teal#19,2162.04,S+,27.29,2108.55,2215.53,38,480,68,0,548
49,LEADER_Lambert:Lambert#3,2161.01,S+,27.29,2107.53,2214.5,38,479,68,1,548
50,LEADER_Samorn:Samorn#3,2160.27,S+,27.44,2106.49,2214.04,38,478,67,3,548
51,TAPU_LELE:Tapu Lele#1,2151.63,S,27.06,2098.59,2204.66,38,477,71,0,548
52,FORMERCHAMP_Vincent:Vincent,2148.66,S,27.09,2095.56,2201.75,38,475,71,2,548
53,MASKEDVILLAIN_DOUBLE:Crimson#13,2148.15,S,26.98,2095.26,2201.04,39,476,72,0,548
54,POKEMONRANGER_M:Zufaix,2142.98,S,26.93,2090.19,2195.77,37,474,73,1,548
55,LADY2:Eseria,2139.9,S,26.84,2087.3,2192.5,36,473,74,1,548
56,POKEMONTRAINER_Vanya:Vanya,2137.7,S,26.77,2085.24,2190.16,35,473,75,0,548
57,ANOTHERPOSSIBLEALESSA:Alessa#1,2134.21,S,26.7,2081.89,2186.53,35,472,76,0,548
58,FORMERCHAMP_Scilla:Scilla,2129.88,S,26.62,2077.7,2182.07,33,470,77,1,548
59,SEEKER_Nora:Nora#1,2127.21,S,26.56,2075.16,2179.26,33,470,78,0,548
60,TAPU_BULU:Tapu Bulu,2127.21,S,26.56,2075.16,2179.26,33,470,78,0,548
61,ELDER:Logun,2111.75,S,26.42,2059.96,2163.55,35,464,81,3,548
62,TAPU_KOKO:Tapu Koko,2111.7,S,26.4,2059.96,2163.43,35,464,81,3,548
63,FORMERCHAMP_Chara:Chara,2109.59,S,26.23,2058.18,2161.0,35,465,83,0,548
64,FORMERCHAMP_Praveen:Praveen,2109.59,S,26.23,2058.18,2161.0,35,465,83,0,548
65,MASKEDVILLAIN2:Teal#11,2109.59,S,26.23,2058.18,2161.0,35,465,83,0,548
66,FAIRYTALEGIRL:Emmi,2102.49,S,26.11,2051.32,2153.66,39,463,85,0,548
67,MASKEDVILLAIN:Crimson#17,2102.49,S,26.11,2051.32,2153.66,39,463,85,0,548
68,COOLTRAINER_M7:X,2095.38,S,26.09,2044.23,2146.52,38,460,86,2,548
69,ANOTHERPOSSIBLEALESSA:Alessa,2088.19,S,25.87,2037.48,2138.9,41,459,89,0,548
70,LEADER_Samorn:Samorn#2,2088.04,S,25.98,2037.13,2138.96,43,458,88,2,548
71,LEADER_Bence:Bence#2,2084.59,S,25.82,2033.99,2135.2,42,458,90,0,548
72,TRAINER_Zain:Zain#2,2084.23,S,25.82,2033.62,2134.84,42,457,90,1,548
73,FORMERCHAMP_Ansel:Ansel,2079.2,S,25.79,2028.66,2129.74,42,456,91,1,548
74,IDEALTRAINER:of Brilliance,2079.18,S,25.79,2028.63,2129.74,42,456,91,1,548
75,KILLU:Killu,2077.38,S,25.71,2026.99,2127.76,42,456,92,0,548
76,POKEMONMASTER_Vanya:Vanya#19,2075.57,S,25.74,2025.12,2126.02,40,455,92,1,548
77,KATY:Manycrows,2073.76,S,25.65,2023.48,2124.04,40,455,93,0,548
