rank,trainer,rating,tier,se,ci_low,ci_high,overlap,wins,losses,draws,battles
1,TOURISTM:Azeler,2545.71,S+,39.86,2467.59,2623.83,5,463,18,2,483
2,POKEMONTRAINER_Vanya:Vanya#2,2529.33,S+,38.64,2453.6,2605.06,7,462,20,1,483
3,ODDISH:Oddium,2505.63,S+,37.05,2433.01,2578.26,11,460,23,0,483
4,TRAINER_Candy:Candy#1,2505.63,S+,37.05,2433.01,2578.26,11,460,23,0,483
5,MASKEDVILLAIN:Crimson#22,2480.47,S+,35.71,2410.48,2550.45,13,457,26,0,483
6,POKEMONTRAINER_Vanya:Vanya#3,2480.47,S+,35.71,2410.48,2550.45,13,457,26,0,483
7,TOURISTM:Chus,2467.22,S+,35.28,2398.07,2536.36,17,454,27,2,483
8,VETERANM_2:Kirbae,2456.83,S+,34.56,2389.09,2524.57,16,454,29,0,483
9,SPIRITGUARDIAN3:Preeti,2441.87,S+,33.89,2375.44,2508.29,18,452,31,0,483
10,HEXMANIAC:Errata,2434.62,S+,33.58,2368.79,2500.44,16,451,32,0,483
11,MASKEDVILLAIN2:Teal#22,2434.62,S+,33.58,2368.79,2500.44,16,451,32,0,483
12,WAITRESS3:Destiny,2433.7,S+,33.67,2367.71,2499.68,16,449,32,2,483
13,TRAINER_Alessa:Alessa#6,2420.57,S+,33.01,2355.87,2485.27,16,449,34,0,483
14,SCIENTIST_F:LunaFlare,2418.96,S+,33.06,2354.17,2483.75,16,448,34,1,483
15,POKEMONCHAMPION_Vanya:Vanya,2407.12,S+,32.49,2343.43,2470.81,17,447,36,0,483
16,POKEMONTRAINER_Vanya:Vanya#1,2402.71,S+,32.44,2339.13,2466.29,17,446,36,1,483
17,NIGHTMAREQUEEN_Elise:Elise,2400.61,S+,32.26,2337.39,2463.83,17,446,37,0,483
18,PUNKM:ValourDyke,2400.61,S+,32.26,2337.39,2463.83,17,446,37,0,483
19,ULTRALAINIE:Lainie,2400.61,S+,32.26,2337.39,2463.83,17,446,37,0,483
20,FORMERCHAMP_Elise:Elise#1,2388.16,S+,31.83,2325.78,2450.54,18,443,39,1,483
21,FORMERCHAMP_Elise:Elise,2385.94,S+,31.85,2323.51,2448.37,18,443,39,1,483
22,POKEMONRANGER_M:Zufaix,2352.42,S+,30.79,2292.06,2412.77,21,437,45,1,483
23,FORMERCHAMP_Vincent:Vincent,2351.23,S+,30.81,2290.84,2411.62,21,436,45,2,483
24,ANOTHERPOSSIBLEALESSA:Alessa#1,2348.46,S+,30.59,2288.5,2408.41,23,437,46,0,483
25,TAPU_BULU:Tapu Bulu,2343.34,S+,30.45,2283.66,2403.02,24,436,47,0,483
26,POKEMONTRAINER_Vanya:Vanya,2328.73,S+,30.06,2269.8,2387.66,25,433,50,0,483
27,FORMERCHAMP_Scilla:Scilla,2328.39,S+,30.08,2269.44,2387.35,25,432,50,1,483
28,LADY2:Eseria,2323.45,S+,29.98,2264.69,2382.2,28,431,51,1,483
