rank,trainer,rating,tier,se,ci_low,ci_high,overlap,wins,losses,draws,battles
1,ANOTHERPOSSIBLERAFAEL:Rafael#1,2833.31,S+,60.67,2714.4,2952.22,1,569,1,0,570
2,ANOTHERPOSSIBLERAFAEL:Rafael,2818.58,S+,58.92,2703.09,2934.08,1,552,2,0,554
3,SPIRITGUARDIAN4:Brigitte#1,2633.65,S+,41.66,2552.01,2715.3,5,551,17,0,568
4,POKEMONTRAINER_Yezera:Yezera#9,2607.84,S+,39.69,2530.06,2685.63,6,552,20,0,572
5,LEADER_Bence:Bence#3,2563.85,S+,37.16,2491.01,2636.7,10,529,25,0,554
6,FORMERCHAMP_Elise:Elise#2,2562.75,S+,37.0,2490.23,2635.27,10,563,25,0,588
7,MASKEDVILLAIN2:Teal#23,2559.49,S+,37.09,2486.79,2632.19,10,545,25,2,572
8,COOLTRAINER_M7:X#1,2555.77,S+,36.72,2483.81,2627.73,11,528,26,0,554
9,TOURISTM:Chus,2548.12,S+,36.03,2477.5,2618.74,11,560,27,0,587
10,POKEMONCHAMPION_Vanya:Vanya,2529.48,S+,35.37,2460.15,2598.81,11,542,29,1,572
11,LEADER_Eko:Eko#3,2524.82,S+,35.11,2456.0,2593.64,13,524,30,0,554
12,HEXMANIAC:Errata,2511.3,S+,34.33,2444.0,2578.59,17,540,32,0,572
13,FORMERCHAMP_Ansel:Ansel,2501.39,S+,33.91,2434.94,2567.85,18,555,33,0,588
14,LEADER_Samorn:Samorn#3,2490.09,S+,33.38,2424.66,2555.52,16,537,35,0,572
15,MASKEDVILLAIN2:Teal#15,2484.57,S+,32.93,2420.02,2549.11,16,549,36,2,587
16,SPIRITGUARDIAN3:Preeti#1,2474.42,S+,32.7,2410.33,2538.52,17,549,37,0,586
17,POKEMONTRAINER_Vanya:Vanya,2459.21,S+,32.37,2395.77,2522.65,16,514,39,1,554
18,MASKEDVILLAIN:Crimson#23,2458.82,S+,32.22,2395.66,2521.98,16,548,39,1,588
19,TRAINER_Zain:Zain#3,2453.61,S+,31.98,2390.93,2516.29,18,547,40,1,588
20,MASKEDVILLAIN2:Teal#21,2451.48,S+,31.99,2388.78,2514.18,18,545,40,1,586
21,ANOTHERPOSSIBLEALESSA:Alessa#1,2449.04,S+,31.86,2386.59,2511.5,18,513,41,0,554
22,TRAINER_Alessa:Alessa#4,2444.24,S+,31.6,2382.31,2506.16,17,529,42,1,572
23,FORMERCHAMP_Elise:Elise,2442.52,S+,31.61,2380.57,2504.47,17,527,42,1,570
24,SPIRITGUARDIAN3:Preeti,2434.03,S+,30.89,2373.48,2494.58,19,543,44,0,587
25,NIGHTMAREQUEEN_Elise:Elise#1,2430.68,S+,31.17,2369.6,2491.77,19,527,44,1,572
26,MASKEDVILLAIN2_DOUBLE:Teal#13,2416.77,S+,30.72,2356.56,2476.99,26,524,46,0,570
27,TAPU_KOKO:Tapu Koko#1,2412.59,S+,30.6,2352.61,2472.57,25,507,47,0,554
28,POKEMONTRAINER_Vanya:Vanya#2,2403.43,S,30.35,2343.94,2462.92,25,538,48,2,588
29,TRAINER_Eifion:Eifion#2,2394.63,S,29.66,2336.51,2452.76,25,535,51,1,587
30,TRAINER_Alessa:Alessa#6,2394.08,S,30.0,2335.28,2452.89,25,521,50,1,572
31,LADY2:Eseria,2379.63,S,29.56,2321.7,2437.57,24,517,53,0,570
32,FORMERCHAMP_Scilla:Scilla,2379.3,S,29.6,2321.28,2437.33,24,501,53,0,554
