rank,trainer,rating,tier,se,ci_low,ci_high,overlap,wins,losses,draws,battles
1,TOURISTM:Chus,2647.02,S+,45.24,2558.34,2735.7,5,509,12,0,521
2,HEXMANIAC:Errata,2613.32,S+,42.92,2529.19,2697.45,7,492,15,0,507
3,FORMERCHAMP_Ansel:Ansel,2611.88,S+,42.83,2527.94,2695.83,7,506,15,0,521
4,POKEMONCHAMPION_Vanya:Vanya,2583.32,S+,40.86,2503.24,2663.4,8,489,18,0,507
5,ANOTHERPOSSIBLEALESSA:Alessa#1,2571.51,S+,40.31,2492.5,2650.53,8,470,19,0,489
6,POKEMONTRAINER_Vanya:Vanya,2567.68,S+,40.31,2488.68,2646.69,8,469,19,1,489
7,SPIRITGUARDIAN3:Preeti,2551.66,S+,38.33,2476.53,2626.78,11,499,22,0,521
8,FORMERCHAMP_Elise:Elise,2535.11,S+,38.12,2460.4,2609.83,11,481,23,1,505
9,POKEMONTRAINER_Vanya:Vanya#2,2514.72,S+,37.12,2441.96,2587.47,15,494,25,2,521
10,TRAINER_Alessa:Alessa#6,2492.17,S+,35.9,2421.8,2562.54,14,478,28,1,507
11,POKEMONTRAINER_Vanya:Vanya#1,2480.01,S+,35.0,2411.4,2548.62,14,491,30,0,521
12,FORMERCHAMP_Scilla:Scilla,2478.74,S+,35.31,2409.52,2547.95,14,459,30,0,489
13,MASKEDVILLAIN2:Teal#22,2478.74,S+,35.31,2409.52,2547.95,14,459,30,0,489
14,MASKEDVILLAIN:Crimson#22,2472.17,S+,34.76,2404.05,2540.29,14,488,31,1,520
15,FORMERCHAMP_Elise:Elise#1,2469.65,S+,34.86,2401.33,2537.97,14,486,31,3,520
16,ANOTHERPOSSIBLEALESSA:Alessa,2456.52,S+,34.25,2389.38,2523.65,16,472,33,0,505
17,LADY2:Eseria,2442.34,S+,33.68,2376.33,2508.34,17,470,35,0,505
18,POKEMONTRAINER_Vanya:Vanya#3,2442.21,S+,33.76,2376.03,2508.39,17,454,35,0,489
19,TRAINER_Candy:Candy#1,2442.21,S+,33.76,2376.03,2508.39,17,454,35,0,489
20,LEADER_Eko:Eko#2,2424.8,S+,32.66,2360.79,2488.81,17,483,38,0,521
21,COOLTRAINER_M7:X,2423.5,S+,33.16,2358.51,2488.5,18,466,37,2,505
22,ODDISH:Oddium,2415.07,S+,32.75,2350.88,2479.25,17,450,39,0,489
23,DELINQUENT:Lilypad,2398.0,S+,31.85,2335.57,2460.43,20,478,42,0,520
24,LEADER_Samorn:Samorn#2,2395.85,S+,32.09,2332.95,2458.76,21,447,42,0,489
25,TRAINER_Zain:Zain#2,2391.99,S+,31.66,2329.94,2454.03,20,477,43,0,520
26,ELDER:Logun,2386.76,S+,30.76,2326.48,2447.05,20,481,46,0,527
27,WAITRESS3:Destiny,2383.57,S+,31.7,2321.44,2445.71,22,445,44,0,489
28,TOURISTM:Azeler,2367.55,S,31.06,2306.68,2428.41,22,470,47,1,518
29,TRAINER_Alessa:Alessa#3,2359.77,S,31.06,2298.89,2420.65,20,440,48,1,489
30,FAIRYTALEGIRL:Emmi,2349.97,S,30.54,2290.11,2409.83,20,471,50,0,521
31,SPIRITGUARDIAN4:Brigitte,2349.18,S,30.71,2288.99,2409.37,20,439,50,0,489
32,POKEMONMASTER_Vanya:Vanya#5,2348.57,S,30.31,2289.17,2407.98,20,470,51,0,521
33,NIGHTMAREQUEEN_Elise:Elise,2343.27,S,30.61,2283.26,2403.27,22,437,51,1,489
34,ULTRALAINIE:Lainie,2341.6,S,29.49,2283.79,2399.41,21,469,55,0,524
35,FORMERCHAMP_Vincent:Vincent,2336.65,S,30.48,2276.9,2396.4,24,435,52,0,487
36,SCIENTIST_F:LunaFlare,2336.09,S,29.45,2278.38,2393.81,22,492,56,0,548
37,LEADER_Bence:Bence#2,2334.7,S,30.23,2275.46,2393.95,23,452,53,0,505
38,KATY:Manycrows,2325.03,S,29.5,2267.22,2382.85,23,463,57,0,520
39,TAPU_BULU:Tapu Bulu,2323.18,S,30.06,2264.27,2382.09,23,434,55,0,489
40,LEADER_Lambert:Lambert#2,2311.83,S,29.88,2253.26,2370.4,29,431,57,1,489
41,GUITARIST3:Envy,2310.19,S,29.57,2252.23,2368.16,29,463,58,0,521
42,TRAINER_Eifion:Eifion#3,2310.19,S,29.57,2252.23,2368.16,29,463,58,0,521
43,FORMERCHAMP_Chara:Chara,2295.77,S,29.34,2238.27,2353.28,34,459,61,1,521
44,MASKEDVILLAIN2:Teal#14,2285.97,S,29.26,2228.62,2343.32,37,426,63,0,489
45,FORMERCHAMP_Casey:Casey,2283.7,S,29.13,2226.6,2340.79,36,440,64,1,505
46,FORMERCHAMP_Praveen:Praveen,2280.47,S,28.89,2223.84,2337.1,36,453,66,1,520
47,POKEMONMASTER_Vanya:Vanya#1,2280.32,S,29.22,2223.06,2337.59,38,424,64,1,489
48,PUNKM:ValourDyke,2277.3,S,29.1,2220.26,2334.33,36,423,65,0,488
49,DRAGONTAMER_F:Zinnia,2273.39,S,28.03,2218.45,2328.33,37,448,72,0,520
50,MASKEDVILLAIN:Crimson#14,2273.19,S,29.02,2216.31,2330.07,39,423,66,0,489
