rank,trainer,rating,tier,se,ci_low,ci_high,overlap,wins,losses,draws,battles
1,ANOTHERPOSSIBLERAFAEL:Rafael,2454.97,S+,40.54,2375.52,2534.43,0,535,6,1,542
2,TOURISTM:Chus,2373.38,S+,35.16,2304.48,2442.29,7,524,18,0,542
3,HEXMANIAC:Errata,2361.55,S+,34.52,2293.89,2429.22,9,522,20,0,542
4,FORMERCHAMP_Ansel:Ansel,2328.86,S+,32.91,2264.35,2393.37,15,516,26,0,542
5,MASKEDVILLAIN:Crimson#23,2328.86,S+,32.91,2264.35,2393.37,15,516,26,0,542
6,POKEMONCHAMPION_Vanya:Vanya,2328.86,S+,32.91,2264.35,2393.37,15,516,26,0,542
7,POKEMONTRAINER_Vanya:Vanya,2325.43,S+,32.98,2260.8,2390.07,15,514,26,2,542
8,ANOTHERPOSSIBLEALESSA:Alessa#1,2323.78,S+,32.68,2259.72,2387.83,15,515,27,0,542
9,SPIRITGUARDIAN3:Preeti,2318.79,S+,32.46,2255.17,2382.41,18,514,28,0,542
10,FORMERCHAMP_Elise:Elise,2298.77,S+,31.64,2236.75,2360.79,19,509,32,1,542
11,MASKEDVILLAIN2:Teal#23,2295.14,S+,31.46,2233.47,2356.8,19,509,33,0,542
12,POKEMONTRAINER_Vanya:Vanya#2,2292.16,S+,31.52,2230.38,2353.93,19,507,33,2,542
13,TRAINER_Alessa:Alessa#6,2278.1,S+,30.98,2217.37,2338.82,25,504,36,2,542
14,SHADOWMAVIS:Mavis#1,2277.55,S+,30.78,2217.22,2337.88,25,505,37,0,542
15,FORMERCHAMP_Elise:Elise#1,2269.33,S+,30.7,2209.14,2329.51,27,501,38,3,542
16,POKEMONTRAINER_Vanya:Vanya#1,2269.13,S+,30.47,2209.4,2328.86,27,503,39,0,542
17,MASKEDVILLAIN2:Teal#22,2265.0,S+,30.33,2205.56,2324.44,23,502,40,0,542
18,FORMERCHAMP_Scilla:Scilla,2256.9,S+,30.05,2198.01,2315.79,23,500,42,0,542
19,LADY2:Eseria,2256.9,S+,30.05,2198.01,2315.79,23,500,42,0,542
20,TRAINER_Candy:Candy#1,2256.9,S+,30.05,2198.01,2315.79,23,500,42,0,542
21,MASKEDVILLAIN:Crimson#22,2254.21,S+,30.08,2195.26,2313.16,23,498,42,2,542
22,ANOTHERPOSSIBLEALESSA:Alessa,2248.97,S+,29.78,2190.6,2307.34,25,498,44,0,542
